dia,contagiados
1,1
2,1
3,1
4,3
5,3
6,9
7,13
8,16
9,24
10,45
11,57
12,75
13,102
14,128
15,175
16,210
17,240
18,306
19,378
20,470
21,491
22,539
23,608
24,702
25,798
26,906
27,1065
28,1161
29,1267
30,1406
31,1485
32,1579
33,1780
34,2054
35,2223
36,2473
37,2709
38,2776
39,2852
40,2979
41,3105
42,3233
43,3439
44,3621
45,3792
46,3977
47,4149
48,4356
49,4561
50,4881
51,5142
52,5379
53,5597
54,5949
55,6211
56,6057
56,7006
57,7285
58,7668
59,7973
60,8613
61,8959
62,9456
63,10051
64,10495
65,11063
66,11613
67,12272
68,12930
69,13610
